,name,position,club,division,based,nation,age,preferredfoot,preferredfootsimple,bestpos,bestpossimple,bestrole,value,wage,ca,pa,1v1,cor,cro,dri,fin,fir,fre,hea,lon,lth,mar,pas,pen,tck,tec,agg,ant,bra,cmp,cnt,dec,det,fla,ldr,otb,pos,tea,vis,wor,acc,aer,agi,bal,height,jum,nat,pac,sta,str,weight,cmd,com,ecc,han,kic,pun,ref,thr,tro
6880,Sam Greenwood,"AM (RLC), ST (C)",Leeds,English Premier Division,England (Premier Division),ENG,17,Either,Either,AM (R),AM,IW,120000,2700,77,134,3,7,8,8,10,10,11,9,9,2,3,8,12,5,10,12,6,10,7,6,5,12,13,8,9,3,9,8,10,12,1,11,6,178,9,6,11,7,6,70,2,2,3,2,2,2,1,1,1
7005,Bobby Decordova-Reid,"AM (C), ST (C)",Fulham,English Premier Division,England (Premier Division),JAM,26,Right,Right,ST (C),ST,F9,12500000,30000,127,133,3,10,12,14,14,13,10,8,12,5,8,14,11,8,13,10,13,9,13,14,12,14,13,8,13,9,13,13,13,14,3,13,11,171,5,11,14,14,8,68,3,3,2,2,2,2,2,3,2
7019,Catalin CÃ®rjan,M/AM (C),Arsenal,English Premier Division,England (Premier Division),ROU,16,Right,Right,AM (C),AM,AP,225000,120,90,133,2,6,10,13,12,10,9,4,10,3,4,12,15,3,13,7,8,11,11,11,14,9,14,5,10,4,10,12,12,13,1,11,11,177,10,13,12,9,7,64,2,2,1,1,2,2,2,3,3
7070,Eldin Jakupovic,GK,Leicester,English Premier Division,England (Premier Division),SUI,34,Right,Right,GK,GK,G,3200000,23000,125,133,16,2,2,1,3,9,6,9,1,1,1,12,2,2,8,15,12,8,7,10,10,14,2,11,1,13,13,9,11,9,14,15,10,191,17,12,10,11,10,85,13,15,14,13,14,13,17,15,11
7154,Jayden Fevrier,D/WB (RL),West Ham,English Premier Division,England (Premier Division),ENG,16,Either,Either,D (R),D,FB,42500,120,70,133,2,6,8,8,2,7,3,7,5,7,7,9,1,8,8,11,10,8,9,7,9,17,2,3,5,4,8,7,10,16,1,8,10,178,5,3,15,7,11,70,3,4,2,2,2,3,2,3,3
7186,Kegs Chauke,M (C),Southampton,English Premier Division,England (Premier Division),ENG,16,Right,Right,M (C),M,CM,14250,120,85,133,1,8,3,8,5,11,8,8,9,5,11,15,6,10,12,7,11,9,11,8,7,15,1,3,7,6,9,15,13,13,1,12,9,175,10,16,14,11,6,61,2,3,2,2,1,3,1,3,3
7192,Kyron Gordon,D (C),Sheff Utd,English Premier Division,England (Premier Division),ENG,17,Right,Right,D (C),D,CD,36000,800,65,133,3,3,2,3,4,3,1,12,3,1,13,6,1,9,1,16,7,8,6,4,13,14,1,9,5,13,5,5,6,11,3,11,6,186,14,8,12,3,5,74,2,1,2,1,2,3,2,2,2
7271,Nathan Butler-Oyedeji,"M (R), AM (RL)",Arsenal,English Premier Division,England (Premier Division),ENG,16,Right Only,Right,AM (R),AM,W,22500,120,61,133,2,9,13,7,7,6,5,5,7,5,2,5,2,3,5,5,4,7,4,3,4,8,6,11,8,3,6,4,7,16,2,11,3,180,4,12,15,7,3,59,1,3,3,2,3,2,1,3,1
7295,Paul Glatzel,"AM (C), ST (C)",Liverpool,English Premier Division,England (Premier Division),ENG,18,Left,Left,ST (C),ST,P,110000,2000,77,133,1,9,7,8,12,8,6,15,12,3,9,7,3,5,12,8,7,9,9,10,8,16,14,13,12,9,9,10,9,13,1,11,7,168,7,18,12,8,6,61,3,2,3,1,2,2,2,2,1
7307,Renat Dadasov,ST (C),Wolves,English Premier Division,England (Premier Division),AZE,20,Right,Right,ST (C),ST,TM,725000,5000,103,133,3,5,7,12,12,12,8,13,12,3,4,10,10,4,12,12,14,16,12,10,7,13,13,6,10,5,13,9,13,11,3,10,15,186,12,14,13,11,14,82,1,2,3,1,3,3,1,4,2
7318,Romain SaÃ¯ss,"D (C), DM, M (C)",Wolves,English Premier Division,England (Premier Division),MAR,29,Left,Left,DM,DM,DLP,14250000,25000,131,133,2,5,8,11,8,13,10,13,11,7,13,14,8,13,13,12,13,13,15,14,13,15,9,10,10,13,14,14,13,12,1,13,15,188,14,13,12,13,14,84,1,1,1,2,3,3,2,1,3
7323,Rowan McDonald,DM,Man City,English Premier Division,England (Premier Division),ENG,17,Right Only,Right,DM,DM,BWM,66000,1000,72,133,2,13,11,7,10,8,10,9,10,3,10,8,3,11,7,13,10,9,9,10,9,16,1,12,8,9,11,8,13,13,1,7,10,181,12,13,12,10,9,71,3,1,1,1,1,2,2,2,4
7393,Charly Musonda,AM (RLC),Chelsea,English Premier Division,England (Premier Division),BEL,22,Right,Right,AM (L),AM,IW,0,40000,119,133,3,11,9,13,7,13,13,8,12,10,7,12,6,6,15,6,11,11,12,10,12,14,14,5,9,6,12,14,14,14,3,17,8,173,6,7,14,9,6,63,2,1,1,3,1,2,1,2,3
7394,George McEachran,"DM, M/AM (C)",Chelsea,English Premier Division,England (Premier Division),ENG,18,Left,Left,M (C),M,AP,0,2500,100,133,1,8,8,12,10,14,8,6,10,5,6,13,7,6,16,8,8,8,14,8,12,15,14,5,8,7,8,11,11,13,3,13,7,171,5,7,11,15,6,59,2,1,3,3,3,1,3,1,3
7474,Billy Fewster,M (C),Leeds,English Premier Division,England (Premier Division),ENG,16,Right Only,Right,M (C),M,CM,21500,120,52,132,1,5,1,5,5,10,5,5,8,2,6,13,1,3,6,11,7,4,4,2,13,15,3,1,6,4,6,8,7,13,1,11,6,173,7,12,10,9,5,61,3,3,2,1,4,1,4,2,1
7475,Billy Sharp,ST (C),Sheff Utd,English Premier Division,England (Premier Division),ENG,33,Right,Right,ST (C),ST,P,5000000,12000,130,132,1,7,12,12,15,13,6,13,11,6,5,12,18,6,13,15,15,14,15,12,13,15,12,18,15,7,13,13,15,12,3,13,11,176,9,13,10,13,13,70,3,3,4,3,1,2,3,1,2
7510,Chris Basham,"D (C), DM, M (C)",Sheff Utd,English Premier Division,England (Premier Division),ENG,30,Right,Right,D (C),D,NCB,12750000,5500,132,132,3,6,11,12,8,11,9,14,10,9,14,12,8,15,10,14,14,18,12,13,12,15,10,17,13,13,15,11,16,11,1,10,12,181,14,14,11,14,14,80,2,1,1,2,3,3,4,1,2
7513,Christian Atsu,"M (L), AM (RL)",Newcastle,English Premier Division,England (Premier Division),GHA,27,Left,Left,AM (L),AM,W,9500000,30000,123,132,3,11,11,11,10,12,13,7,13,7,5,10,11,3,13,5,10,10,12,10,9,13,16,7,14,5,12,11,12,17,3,15,12,172,5,12,16,12,10,68,3,1,1,2,2,1,2,1,1
7541,David McGoldrick,"AM (C), ST (C)",Sheff Utd,English Premier Division,England (Premier Division),IRL,31,Right,Right,ST (C),ST,DLF,11250000,7000,131,132,1,8,12,13,12,13,12,12,13,6,9,13,13,8,14,6,13,11,14,11,13,14,13,10,14,8,13,13,15,12,2,13,14,186,12,11,11,14,13,75,1,4,2,1,2,2,3,1,1
7546,Denis Odoi,D (RLC),Fulham,English Premier Division,England (Premier Division),BEL,31,Right,Right,D (R),D,WB,6500000,20000,126,132,4,10,12,13,8,13,10,11,9,11,13,13,4,12,13,16,11,14,11,12,13,15,13,12,12,14,13,11,13,14,4,13,10,178,14,15,14,12,10,73,2,1,2,2,4,2,2,3,2
7594,Felix Nmecha,M/AM (C),Man City,English Premier Division,England (Premier Division),ENG,18,Right,Right,AM (C),AM,AP,725000,2000,103,132,2,10,9,15,10,15,10,6,12,4,10,13,6,9,14,7,9,4,8,8,10,6,11,10,9,12,10,12,12,13,2,10,10,187,14,8,13,9,11,77,1,2,2,2,3,3,1,2,3
7656,Jacob Murphy,"M (R), AM (RL)",Newcastle,English Premier Division,England (Premier Division),ENG,24,Right,Right,AM (R),AM,W,4600000,25000,119,132,3,5,11,14,11,12,9,4,10,5,7,12,5,8,12,9,12,9,12,12,6,12,12,6,13,8,11,12,12,16,3,14,13,176,7,13,15,11,9,71,3,4,2,2,3,1,3,3,3
7686,John Lundstram,"DM, M (C)",Sheff Utd,English Premier Division,England (Premier Division),ENG,25,Right,Right,M (C),M,BBM,13250000,4000,132,132,3,9,10,11,11,13,9,13,10,4,12,15,8,14,14,15,13,13,12,12,13,17,9,14,11,12,14,13,16,12,3,12,10,181,11,14,11,15,12,74,4,2,1,1,1,2,3,2,3
7789,Michael Hector,"D (C), DM",Fulham,English Premier Division,England (Premier Division),JAM,26,Right,Right,D (C),D,NCB,11250000,17000,127,132,1,8,7,10,7,10,9,15,9,12,14,10,14,14,11,13,11,15,9,11,9,15,6,13,8,13,14,9,11,12,1,12,16,193,18,14,12,13,16,82,1,3,2,2,1,1,3,1,3
7935,Tyler Onyango,M (C),Everton,English Premier Division,England (Premier Division),ENG,16,Right,Right,M (C),M,CM,32500,120,62,132,1,5,5,6,1,7,5,5,10,4,9,6,4,10,10,13,8,5,7,11,9,2,1,4,6,7,6,12,9,14,4,3,11,190,14,10,10,13,10,78,2,1,1,1,3,1,1,4,2
8038,Cheikh Diaby,ST (C),West Brom,English Premier Division,England (Premier Division),FRA,19,Right,Right,ST (C),ST,P,41500,500,70,131,2,5,5,13,13,12,6,13,7,1,2,6,5,2,8,3,12,5,8,7,10,13,8,9,11,7,6,6,7,13,3,10,7,175,8,15,11,8,8,70,3,3,4,2,4,3,2,1,1
8062,Dermi Lusala,"D (RC), WB (R)",Tottenham,English Premier Division,England (Premier Division),ENG,16,Right,Right,D (R),D,FB,42500,120,70,131,2,6,1,6,1,8,6,8,6,6,8,5,3,10,8,8,5,9,7,5,13,10,2,9,5,9,7,6,8,12,2,12,7,182,5,12,13,13,7,68,2,1,2,3,3,2,2,1,2
8091,Fabian Mrozek,GK,Liverpool,English Premier Division,England (Premier Division),POL,15,Right,Right,GK,GK,G,3800,120,65,131,5,4,2,3,1,1,6,1,1,3,3,13,3,3,4,7,9,10,6,10,13,16,3,8,3,6,6,5,5,11,12,7,9,192,12,15,12,3,10,74,8,9,1,11,13,4,12,8,8
8197,Kayne Ramsay,D (RC),Southampton,English Premier Division,England (Premier Division),ENG,18,Right,Right,D (R),D,FB,375000,1200,95,131,1,8,9,10,7,10,8,12,9,8,11,11,7,10,10,8,10,13,10,10,10,10,9,8,5,11,10,9,12,13,3,11,12,179,12,11,13,12,12,66,2,2,3,1,2,2,3,4,2
8254,Mateusz Klich,M/AM (C),Leeds,English Premier Division,England (Premier Division),POL,29,Right,Right,M (C),M,DLP,13500000,12000,129,131,2,11,11,11,13,14,12,7,14,4,4,14,14,8,15,10,14,13,14,12,13,15,15,12,14,7,14,15,13,11,1,11,13,183,11,16,12,16,12,84,2,3,1,1,1,1,1,2,3
8346,Sonny Hilton,AM (C),Fulham,English Premier Division,England (Premier Division),ENG,18,Right,Right,AM (C),AM,SS,29500,400,63,131,1,6,6,10,12,11,6,6,3,1,4,14,1,7,10,5,7,2,9,7,8,12,7,5,8,6,7,7,10,13,3,11,6,165,6,11,12,7,6,57,1,4,1,2,4,1,3,2,2
8365,Vladimir Coufal,D/WB (R),West Ham,English Premier Division,England (Premier Division),CZE,26,Right,Right,D (R),D,WB,16750000,37500,129,131,3,7,9,8,9,8,8,13,10,15,14,10,12,14,10,15,10,17,10,13,11,17,6,12,15,12,13,6,16,14,1,14,16,174,12,14,14,16,16,70,2,3,2,3,3,1,2,3,1
8445,Ahmed Elmohamady,D/WB/M (R),Aston Villa,English Premier Division,England (Premier Division),EGY,31,Right Only,Right,M (R),M,W,4000000,40000,119,130,3,10,14,13,10,13,8,11,9,12,9,13,9,12,14,13,12,10,13,10,12,8,11,8,13,10,13,13,14,12,1,13,13,182,13,15,13,14,11,75,2,3,3,1,2,1,3,3,1
8596,Ben Woodburn,"M (C), AM (RLC), ST (C)",Liverpool,English Premier Division,England (Premier Division),WAL,19,Right Only,Right,AM (L),AM,IW,3400000,12000,114,130,3,8,11,14,13,14,9,9,11,3,8,14,12,8,15,9,13,8,14,13,12,15,14,7,14,8,13,14,8,12,1,13,12,176,7,7,12,9,8,73,1,3,3,2,3,1,1,3,2
8683,Ciaran Clark,D (C),Newcastle,English Premier Division,England (Premier Division),IRL,29,Left,Left,D (C),D,CD,11250000,35000,127,130,3,4,4,10,8,11,3,15,6,9,14,10,5,14,11,14,15,14,14,13,13,15,6,13,7,15,13,10,14,11,1,11,10,188,14,12,11,12,14,77,3,1,3,1,2,3,1,2,2
8719,Dan Burn,D (LC),Brighton,English Premier Division,England (Premier Division),ENG,27,Left,Left,D (C),D,CD,11250000,18000,127,130,4,7,9,9,9,12,4,15,4,11,13,12,5,14,11,13,14,14,13,12,13,16,5,14,9,13,17,9,15,9,2,8,8,201,19,12,14,15,14,87,3,3,1,3,3,2,3,1,2
8824,Elijah Dixon-Bonner,"DM, M/AM (C)",Liverpool,English Premier Division,England (Premier Division),ENG,18,Right Only,Right,M (C),M,DLP,145000,2000,80,130,2,7,7,9,9,12,7,5,9,5,12,13,5,12,12,14,11,8,12,7,13,11,9,12,9,11,11,14,12,12,1,9,8,184,9,16,11,7,7,74,2,2,1,3,1,1,2,1,2
9016,Hal Robson-Kanu,"AM (RLC), ST (C)",West Brom,English Premier Division,England (Premier Division),WAL,30,Left,Left,AM (L),AM,W,4099999,20000,116,130,1,11,12,13,12,13,9,12,13,10,6,10,12,7,11,9,9,8,10,11,10,15,14,8,14,8,15,9,15,13,3,11,12,186,14,15,13,9,14,84,1,3,2,1,3,2,2,1,2
9116,Jason Steele,GK,Brighton,English Premier Division,England (Premier Division),ENG,28,Right,Right,GK,GK,SK,750000,16000,110,130,13,6,1,2,2,6,11,1,1,2,2,8,5,2,12,9,9,11,12,11,9,14,3,10,1,12,10,9,14,13,12,13,10,194,16,10,12,13,11,79,12,10,3,13,8,6,16,15,11
9258,Keinan Davis,ST (C),Aston Villa,English Premier Division,England (Premier Division),ENG,21,Left,Left,ST (C),ST,PF,750000,5000,108,130,3,5,7,11,12,12,7,12,10,5,5,11,10,9,10,13,10,13,10,10,10,10,11,6,12,7,12,11,13,13,2,13,12,191,14,11,12,12,14,87,3,2,2,1,2,3,3,1,3
9313,Lee Grant,GK,Man Utd,English Premier Division,England (Premier Division),ENG,36,Right Only,Right,GK,GK,SK,1200000,30000,122,130,13,5,2,1,3,12,8,4,2,2,1,11,4,2,10,9,12,15,12,13,11,8,2,7,12,14,11,12,11,8,14,14,10,191,14,9,8,9,10,84,16,11,5,12,13,10,15,13,13
9384,Luke Dreher,"DM, M (C)",Crystal Palace,English Premier Division,England (Premier Division),ENG,20,Right,Right,M (C),M,DLP,750000,2500,105,130,1,10,12,11,12,13,6,11,11,5,11,13,12,11,13,10,12,12,11,11,11,14,9,14,13,8,12,12,12,9,1,11,11,176,9,13,12,12,11,72,1,3,1,2,3,3,2,1,2
9436,Martin Kelly,D (RC),Crystal Palace,English Premier Division,England (Premier Division),ENG,29,Right,Right,D (R),D,FB,11250000,25000,127,130,3,4,8,8,10,12,5,12,2,6,12,12,5,14,12,13,13,16,12,14,13,14,5,10,10,14,11,13,16,12,1,13,13,191,13,10,13,15,14,78,2,3,3,2,3,2,3,3,1
9479,Max Kilman,"D (LC), WB (L)",Wolves,English Premier Division,England (Premier Division),ENG,22,Left,Left,D (C),D,BPD,5250000,1000,120,130,2,4,11,11,6,11,10,12,7,7,14,13,2,13,14,7,14,10,14,11,12,13,7,6,10,12,12,10,12,14,3,13,13,194,11,11,14,12,13,89,2,1,1,3,3,1,3,3,2
9556,Nathan Broadhead,"AM (RLC), ST (C)",Everton,English Premier Division,England (Premier Division),WAL,21,Right,Right,AM (L),AM,IW,450000,2000,98,130,2,6,8,9,10,10,10,9,11,4,5,9,10,4,13,11,10,11,10,11,11,9,13,7,12,7,10,11,11,13,3,12,11,180,8,11,13,11,9,70,2,2,2,1,2,1,3,2,2
9687,RÃºnar Alex RÃºnarsson,GK,Arsenal,English Premier Division,England (Premier Division),ISL,24,Right,Right,GK,GK,SK,5250000,68000,125,130,14,10,3,3,2,8,12,1,3,1,3,15,2,1,8,12,13,12,12,13,11,12,3,10,2,13,11,10,12,11,11,13,11,186,12,12,10,13,11,76,12,13,9,15,10,11,15,13,11
9769,Sam McQueen,D/M/AM (L),Southampton,English Premier Division,England (Premier Division),ENG,24,Left,Left,D (L),D,CWB,4900000,18000,118,130,2,10,14,12,11,13,9,13,10,9,12,13,7,9,13,8,10,13,11,11,12,13,13,9,11,12,12,12,11,12,2,12,14,181,12,11,12,14,12,78,1,1,1,3,1,1,2,2,3
9871,Tim Ream,D (LC),Fulham,English Premier Division,England (Premier Division),USA,31,Left Only,Left,D (C),D,BPD,7500000,25000,127,130,3,3,9,11,6,13,6,14,7,7,14,14,3,13,15,12,12,14,14,12,11,14,10,12,11,15,14,14,14,13,3,13,13,185,13,15,13,13,14,73,1,2,3,1,2,3,3,4,2
9898,Tyrick Mitchell,D/WB (L),Crystal Palace,English Premier Division,England (Premier Division),ENG,19,Left,Left,D (L),D,WB,100000,500,106,130,1,9,12,12,6,9,5,11,7,10,12,11,6,11,12,5,11,13,11,9,12,17,7,4,11,12,11,9,11,15,1,10,7,187,11,12,14,16,7,78,1,3,2,2,3,1,2,1,3
9957,Will Norris,GK,Burnley,English Premier Division,England (Premier Division),ENG,25,Left Only,Left,GK,GK,SK,750000,9250,110,130,12,7,3,3,1,6,10,1,3,3,3,10,4,2,11,11,12,12,12,12,12,11,5,7,7,12,10,9,9,7,13,13,10,191,13,12,8,13,12,81,12,12,3,14,13,8,13,12,13
9988,Bryan Fiabema,"AM (RL), ST (C)",Chelsea,English Premier Division,England (Premier Division),NOR,16,Right Only,Right,AM (R),AM,W,0,120,83,130,2,5,7,12,11,11,7,8,10,3,5,8,9,5,11,10,8,13,8,8,8,15,16,6,9,3,10,8,12,14,2,11,11,180,10,14,13,12,11,72,2,3,2,2,1,3,2,3,2
10049,Alfie Whiteman,GK,Tottenham,English Premier Division,England (Premier Division),ENG,20,Right,Right,GK,GK,SK,350000,2000,96,129,8,3,2,2,1,7,5,6,3,2,2,9,1,3,12,11,11,13,7,8,9,14,6,5,5,9,10,9,11,9,12,14,9,188,14,14,10,11,14,83,12,8,5,11,15,9,13,10,10
10060,Andrew Crofts,"DM, M (C)",Brighton,English Premier Division,England (Premier Division),WAL,35,Right,Right,M (C),M,CM,23000,450,86,129,1,7,8,8,11,8,7,10,11,8,11,9,10,16,12,13,10,16,11,14,9,15,5,18,7,13,17,11,13,7,2,7,14,176,7,18,6,7,12,73,2,2,1,1,2,2,2,3,3
10071,Arthur Okonkwo,GK,Arsenal,English Premier Division,England (Premier Division),ENG,17,Right,Right,GK,GK,G,18750,1000,70,129,12,2,3,2,2,5,3,3,2,3,1,3,1,1,2,11,8,11,7,10,6,14,1,4,2,10,12,4,8,6,16,12,12,196,17,12,7,10,14,90,10,6,8,10,8,5,12,8,7
10110,Callum Hulme,"DM, M/AM (C)",Leicester,English Premier Division,England (Premier Division),ENG,18,Right,Right,DM,DM,RGA,200000,1000,84,129,3,12,7,11,11,14,13,5,15,2,5,12,10,4,11,16,8,8,10,8,7,15,12,13,9,1,9,11,9,11,2,14,12,170,4,11,11,7,8,55,2,1,3,2,1,3,3,1,3
10307,Harry Lewis,GK,Southampton,English Premier Division,England (Premier Division),ENG,21,Right,Right,GK,GK,G,185000,1000,90,129,9,7,1,1,3,1,9,1,2,2,3,8,3,3,2,8,9,9,9,10,14,14,3,7,2,14,9,8,8,12,14,12,9,191,13,12,11,4,12,77,9,9,9,10,9,11,13,7,8
10427,KrisztiÃ¡n Hegyi,GK,West Ham,English Premier Division,England (Premier Division),HUN,16,Right,Right,GK,GK,SK,30000,120,65,129,9,5,2,1,2,3,8,1,3,2,3,8,1,3,1,4,5,12,6,10,13,15,2,2,1,11,6,5,5,12,13,10,6,193,11,9,9,3,5,76,8,6,1,9,9,13,11,11,14
10429,Kyle Bartley,D (C),West Brom,English Premier Division,England (Premier Division),ENG,28,Right Only,Right,D (C),D,NCB,5750000,15000,119,129,1,1,6,9,6,9,3,15,8,4,13,9,5,14,9,13,12,16,12,10,12,15,10,15,6,14,13,9,13,11,2,11,12,194,16,13,10,14,17,94,4,2,1,3,3,1,2,2,3
10445,Leighton Clarkson,"DM, M (C)",Liverpool,English Premier Division,England (Premier Division),ENG,17,Right Only,Right,DM,DM,DLP,85000,775,74,129,2,9,10,7,10,13,13,9,10,7,11,14,3,14,11,9,8,7,13,6,8,11,12,3,6,6,7,13,11,13,1,10,6,179,6,13,12,10,5,67,3,3,3,3,2,1,1,1,1
10454,Liam Cooper,D (C),Leeds,English Premier Division,England (Premier Division),SCO,27,Left Only,Left,D (C),D,CD,12000000,14000,128,129,3,2,6,8,5,11,3,15,5,11,14,12,8,16,10,13,14,16,13,11,14,15,6,16,8,14,15,12,15,10,3,10,13,188,14,14,12,15,14,86,2,1,3,3,1,4,1,3,2
10501,Marcel Lavinier,"D/WB (RL), M (R)",Tottenham,English Premier Division,England (Premier Division),POR,18,Right,Right,D (R),D,FB,225000,2100,81,129,3,8,6,6,8,7,7,9,5,9,8,7,5,7,8,10,9,8,8,9,8,16,5,11,7,7,8,10,10,14,1,8,10,182,10,12,13,15,9,74,1,2,3,3,3,2,3,2,2
10533,Matej Kovar,GK,Man Utd,English Premier Division,England (Premier Division),CZE,19,Right,Right,GK,GK,SK,275000,2500,92,129,10,4,1,3,2,12,7,1,2,3,2,11,3,1,12,11,9,8,10,10,9,14,4,6,2,10,8,5,6,12,15,12,12,185,14,12,10,10,8,73,11,9,8,11,14,7,13,7,15
10564,Miguel Azeez,"DM, M (C)",Arsenal,English Premier Division,England (Premier Division),ENG,16,Right,Right,M (C),M,AP,47500,120,70,129,2,10,9,9,8,10,10,7,13,5,5,10,7,6,12,6,8,7,10,7,8,9,12,6,8,6,12,12,9,13,2,10,8,176,8,6,12,9,7,65,3,1,2,3,2,1,3,3,3
10596,Nigel Lonwijk,D (RC),Wolves,English Premier Division,England (Premier Division),NED,16,Right Only,Right,D (C),D,CD,135000,120,83,129,3,3,3,7,5,8,6,14,2,7,8,7,1,13,12,10,6,10,9,9,15,12,1,10,2,8,8,5,9,15,1,13,9,179,11,12,14,10,10,68,2,3,1,3,2,2,2,3,2
10729,Stuart Dallas,"D (R), M/AM (RL)",Leeds,English Premier Division,England (Premier Division),NIR,28,Right,Right,M (R),M,DW,12750000,12000,128,129,2,11,13,12,10,12,7,10,11,6,12,11,10,12,10,10,11,13,12,13,12,17,12,12,12,12,17,9,18,12,2,11,13,183,11,17,12,17,8,81,2,1,1,1,3,2,3,2,2
10880,Alfie Matthews,"AM (RLC), ST (C)",Crystal Palace,English Premier Division,England (Premier Division),ENG,17,Right,Right,ST (C),ST,TM,45500,600,65,128,1,8,8,7,8,6,8,10,10,1,7,6,5,7,6,6,11,8,8,7,8,15,9,12,7,4,8,12,10,12,3,6,12,185,14,12,11,11,10,72,1,3,1,4,2,2,1,2,2
10977,Caoimhin Kelleher,GK,Liverpool,English Premier Division,England (Premier Division),IRL,20,Right Only,Right,GK,GK,SK,450000,6000,100,128,11,3,3,1,3,12,6,3,2,2,3,11,3,1,12,7,10,10,10,10,10,15,3,12,1,10,11,10,10,11,11,12,11,188,11,11,10,10,10,82,11,10,5,13,10,6,12,9,10
11009,Conor Townsend,D/WB (L),West Brom,English Premier Division,England (Premier Division),ENG,26,Left,Left,D (L),D,FB,2400000,12000,113,128,2,7,12,12,7,11,12,9,10,7,11,13,8,13,11,8,11,12,10,14,11,13,5,11,12,13,12,11,13,11,4,12,11,183,11,14,12,15,11,78,2,3,1,1,3,3,1,1,3
11064,Dilan Markanday,M/AM (R),Tottenham,English Premier Division,England (Premier Division),ENG,17,Left Only,Left,AM (R),AM,IW,150000,350,82,128,1,7,9,10,8,9,9,9,7,9,6,8,3,5,10,9,8,9,9,10,9,9,12,7,10,7,10,8,9,12,1,13,12,178,7,11,12,10,10,64,3,1,1,3,3,2,1,2,2
11096,Elliot Anderson,"M (C), AM (RLC)",Newcastle,English Premier Division,England (Premier Division),SCO,16,Either,Either,AM (C),AM,SS,40000,120,65,128,1,3,4,12,10,8,6,6,10,1,4,8,1,7,11,8,7,1,7,7,7,8,12,9,11,8,8,8,11,14,3,10,7,180,6,14,12,6,6,65,3,1,3,1,2,3,2,1,1
11259,Jamie Bowden,"DM, M (C)",Tottenham,English Premier Division,England (Premier Division),ENG,17,Right,Right,DM,DM,BWM,78000,350,75,128,2,6,6,7,7,10,8,5,8,3,10,11,6,10,11,12,9,12,11,7,10,11,6,8,6,10,12,10,13,11,2,12,9,175,7,12,11,11,6,64,3,3,3,4,3,2,3,2,2
11362,Kevin McDonald,"DM, M (C)",Fulham,English Premier Division,England (Premier Division),SCO,30,Right,Right,DM,DM,DLP,8500000,18000,124,128,1,4,11,13,11,14,4,10,9,2,9,14,10,13,13,11,14,9,14,14,14,11,11,9,12,13,16,13,12,10,3,12,13,188,13,18,12,14,14,83,3,2,1,1,3,4,1,2,1
11543,Neeskens Kebano,"M (C), AM (RLC), ST (C)",Fulham,English Premier Division,England (Premier Division),COD,27,Right Only,Right,AM (L),AM,IW,7000000,13000,122,128,2,6,10,15,8,13,12,8,12,5,7,12,8,4,15,12,12,14,12,11,13,16,16,5,11,7,12,11,11,15,3,14,10,172,6,12,14,12,10,72,1,1,2,1,2,1,2,1,1
11569,Oliver Bosworth,GK,Leicester,English Premier Division,England (Premier Division),ENG,17,Left,Left,GK,GK,SK,20000,120,58,128,8,3,1,2,2,2,6,2,3,1,3,12,2,1,1,11,7,9,7,11,8,13,1,7,3,7,9,8,8,12,7,7,9,185,12,15,15,6,8,73,8,7,2,10,10,4,8,7,5
11605,Phil Bardsley,D (RL),Burnley,English Premier Division,England (Premier Division),SCO,33,Right Only,Right,D (R),D,NFB,2300000,25000,123,128,2,11,10,10,9,11,8,13,12,13,14,11,6,15,11,18,14,17,10,15,14,10,8,17,12,15,15,6,15,10,4,12,13,180,12,10,10,15,14,74,1,2,1,3,3,1,3,3,1
11714,Stephen Henderson,GK,Crystal Palace,English Premier Division,England (Premier Division),IRL,31,Right Only,Right,GK,GK,SK,600000,7000,109,128,13,5,1,3,2,8,7,7,1,2,1,10,3,2,9,7,10,10,12,10,12,12,3,10,2,12,11,9,10,8,14,13,13,186,14,7,9,7,13,94,13,14,4,13,14,4,13,5,12
11722,Sylvester Jasper,AM (RL),Fulham,English Premier Division,England (Premier Division),ENG,17,Right,Right,AM (R),AM,W,125000,400,80,128,3,7,10,9,8,11,4,8,8,6,5,7,2,6,8,9,5,7,6,4,7,11,12,6,7,7,8,8,9,16,2,12,7,180,6,11,15,12,7,65,3,2,1,1,3,4,1,2,3
11728,Terell Pennant,"AM (RLC), ST (C)",Leicester,English Premier Division,England (Premier Division),ENG,16,Right,Right,AM (R),AM,W,40000,120,65,128,1,9,10,9,5,8,11,6,9,6,4,8,2,8,10,7,5,6,8,7,5,9,15,6,6,4,4,8,5,13,2,10,5,168,4,11,12,5,4,57,3,1,3,2,1,2,3,3,2
11756,Tyrese Francois,M/AM (C),Fulham,English Premier Division,England (Premier Division),AUS,18,Left,Left,M (C),M,AP,250000,800,88,128,1,9,4,14,7,13,10,6,11,5,9,13,3,8,8,11,12,7,8,8,9,12,15,8,13,6,11,12,7,13,3,13,7,170,6,9,13,9,5,60,1,1,3,2,1,3,1,3,4
11796,Zak Swanson,D (RL),Arsenal,English Premier Division,England (Premier Division),ENG,18,Right,Right,D (R),D,WB,190000,1000,85,128,1,8,9,9,5,11,8,6,7,12,8,10,5,10,11,12,10,11,8,10,9,15,9,9,8,9,14,8,12,14,2,12,7,185,7,16,13,10,7,74,3,3,1,1,3,2,3,3,3
